Path	Symbol	Reason
home/psadil/matlab/toolbox/spm12/external/bemcp/make.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/fileio/private/ft_scalingfactor.m	newunit	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/fileio/private/read_ctf_shm.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/fileio/private/rotate.m	syms	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/fileio/private/write_ctf_shm.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/forward/private/ft_scalingfactor.m	newunit	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/inverse/private/ft_scalingfactor.m	newunit	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/inverse/private/rotate.m	syms	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/plotting/private/ft_scalingfactor.m	newunit	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/plotting/private/ltrisect.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/plotting/private/rotate.m	syms	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/private/rotate.m	syms	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/lmoutr.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/ltrisect.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/meg_leadfield1.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/plgndr.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/plinproj.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/ptriproj.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/read_16bit.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/read_24bit.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/read_ctf_shm.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/rfbevent.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/routlm.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/solid_angle.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/splint_gh.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/src/write_ctf_shm.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/utilities/ft_scalingfactor.m	newunit	undeployable
home/psadil/matlab/toolbox/spm12/external/fieldtrip/utilities/private/rotate.m	syms	undeployable
home/psadil/matlab/toolbox/spm12/matlabbatch/@cfg_entry/subsasgn_check.m	subs	undeployable
home/psadil/matlab/toolbox/spm12/tests/test_checkcode.m	analyzeCodeCompatibility	undeployable
home/psadil/matlab/toolbox/spm12/toolbox/FieldMap/make_FieldMap.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/toolbox/cat12/BayesMex.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/toolbox/cat12/KmeansMex.m	mex	undeployable
home/psadil/matlab/toolbox/spm12/toolbox/dcm_meeg/spm_fx_cmc_tfm.m	syms	undeployable
